Jazz Groove,http://199.180.72.2:8015/listen.pls
Best Smoth Jazz,https://bsj.lucasmultimedia.com:8002/stream.ogg
Chillsky,https://lfhh.radioca.st/stream
Chillhop (fluxmusic.de),https://fluxfm.streamabc.net/flx-chillhop-mp3-128-8581707
Loung Motion FM,https://vm.motionfm.com/motionthree_aacp
Seeburg 1000 (Library Music 1950-80s),http://74.82.59.197:8351/stream
Kick Radio 80s,http://kickradio.nl:8000/tunein
57 Chevy Radio,https://listen1.outpostradio.com/chevy
Majestic Jukebox Radio 50s,http://uk3.internet-radio.com:8405/stream
SomaFM: Secret Agent,http://somafm.com/secretagent.pls
SomaFM: Drone Zone,http://somafm.com/dronezone.pls
SomaFM: DEF CON Radio,http://somafm.com/defcon.pls
SomaFM: Fluid,http://somafm.com/fluid130.pls
SomaFM: Illinois Street Lounge,http://somafm.com/illstreet.pls
SomaFM: Groove Salad Classic,http://somafm.com/gsclassic.pls
SomaFM: Vaporwaves,http://somafm.com/vaporwaves.pls
NTS Radio: Poolside,https://stream-mixtape-geo.ntslive.net/mixtape4
9128.live,http://streams.radio.co/s0aa1e6f4a/listen.m3u
Ambinature,https://www.planetambi.com/tunein/nature/ambinature.pls
Intra Nature Radio,http://104.251.118.50:8793/listen.pls
Jungletrain.net,http://stream1.jungletrain.net:8000
Futuredrumz.com,http://5.39.71.159:8625/stream
Deep House Radio,https://deephouseradio.radioca.st/deep
Prysm Deep,https://n03a-eu.rcs.revma.com/gbcm52a5rnruv
Prysm Poolside,https://n08a-eu.rcs.revma.com/h8wfr23a0mzuv
Prysm Deepinside,https://n16a-eu.rcs.revma.com/7tkkn1yuhnruv
